0,1,2,3
0.0,0.969311922903575,0.0,0.8998834568289569
1.0,0.9659300975874934,1.0,0.9248094655890259
2.0,0.9616630961966874,2.0,0.9196261712505371
3.0,0.9399205577885418,3.0,0.9144469871105706
4.0,0.9334942009250468,4.0,0.9107574539498201
5.0,0.9292888334227213,5.0,0.9016713669011412
6.0,0.9213404863086624,6.0,0.8926163869829569
7.0,0.9195961935727852,7.0,0.9048798846611444
8.0,0.9182542108064311,8.0,0.9075373062579359
9.0,0.9232206874186313,9.0,0.9100916730513818
10.0,0.9251889769837329,10.0,0.9133026329059579
11.0,0.9269589525425264,11.0,0.9137421492820664
12.0,0.9229248238109895,12.0,0.931237141670569
13.0,0.9180725922546722,13.0,0.9391744811892935
14.0,0.9209945858964789,14.0,0.9453200000430204
15.0,0.9184063551458327,15.0,0.9665031145757332
16.0,0.9182133166077939,16.0,0.9568256640936202
17.0,0.9190337467317546,17.0,0.9361972213525109
18.0,0.9179965255440518,18.0,0.9506459450583706
19.0,0.918519663843201,19.0,0.9539426067406882
20.0,0.9208965037987938,20.0,0.9510778858685913
21.0,0.9244832068458554,21.0,0.9409927109082794
22.0,0.9232956987175656,22.0,0.9274694094706544
23.0,0.9272123913196793,23.0,0.9295478697388787
24.0,0.9242806933437038,24.0,0.887454196070672
25.0,0.9281552264383266,25.0,0.8900695943747952
26.0,0.9235649672618206,26.0,0.8950770660849863
27.0,0.9222988770783045,27.0,0.9011401785928846
28.0,0.9235980071785018,28.0,0.8995617378163345
29.0,0.9223567793439682,29.0,0.9006455334271799
30.0,0.9233275454207767,30.0,0.8953187572530527
31.0,0.9236355549017221,31.0,0.8927540722708321
32.0,0.9241857244236045,32.0,0.8897746907286097
33.0,0.9259905216214959,33.0,0.8946526392570722
34.0,0.9270449942371249,34.0,0.8980277823277656
35.0,0.9281713407416222,35.0,0.8977165422629739
36.0,0.9305138487344412,36.0,0.8936026625173429
37.0,0.9309332555874612,37.0,0.893047923555307
38.0,0.9305496585270495,38.0,0.8916280088439275
39.0,0.9301514315137487,39.0,0.8887600411503522
40.0,0.9318972156722669,40.0,0.892277093788083
41.0,0.931479810778857,41.0,0.890493845907116
42.0,0.9325220835459374,42.0,0.8909928335869877
43.0,0.9324193133078315,43.0,0.8895556681157474
44.0,0.9323640876703082,44.0,0.8900820522055877
45.0,0.9324402894020223,45.0,0.8906492476659622
46.0,0.9332238386657216,46.0,0.8909325791371516
47.0,0.9328044671027342,47.0,0.8919339058713639
48.0,0.9344324733803399,48.0,0.8916003751521199
49.0,0.9326426633465952,49.0,0.8919567724853968
50.0,0.9355391186193529,50.0,0.8905345393435726
51.0,0.9339257850428072,51.0,0.8896223782656265
52.0,0.935210082349485,52.0,0.8878922790066687
53.0,0.9345414402750377,53.0,0.8858654120647904
54.0,0.9330405315963353,54.0,0.8851360598550074
55.0,0.9338118126565431,55.0,0.884028444934694
56.0,0.9345992507602616,56.0,0.8848474872341229
57.0,0.9333826880316374,57.0,0.8863463211745024
58.0,0.9327601536550397,58.0,0.8856135507416145
59.0,0.9316834143498428,59.0,0.8844528379391176
60.0,0.9335487986165529,60.0,0.8846233130289611
61.0,0.9330552421557927,61.0,0.8847235352346978
62.0,0.9324042643715097,62.0,0.8851473099365229
63.0,0.9330144424404374,63.0,0.8877582444995826
64.0,0.9326620849925154,64.0,0.8856187267964537
65.0,0.9323381933637699,65.0,0.887789010325769
66.0,0.93365599997498,66.0,0.8924556343581399
67.0,0.9339953731417869,67.0,0.8929906485630699
68.0,0.9335089661960027,68.0,0.8926857374791632
69.0,0.9330841318542894,69.0,0.8935320297812261
70.0,0.9351391274691279,70.0,0.8925078111407729
71.0,0.931838037295406,71.0,0.8931145596669795
72.0,0.9345361968024272,72.0,0.8937964408656166
73.0,0.9332143930155186,73.0,0.8929170341517112
74.0,0.932816210047055,74.0,0.8944541028563348
75.0,0.933477486637077,75.0,0.8948248434243384
76.0,0.9320482948791623,76.0,0.8934563591156418
77.0,0.9342043847212229,77.0,0.8963543714907579
78.0,0.933615499354832,78.0,0.8955592290889919
79.0,0.9335180812820966,79.0,0.894933742354889
80.0,0.9331772067225045,80.0,0.8959750159731825
81.0,0.9327973201913773,81.0,0.8955121754102371
82.0,0.9333426116058047,82.0,0.8967889464482378
83.0,0.9317288793396161,83.0,0.8941911648850064
84.0,0.93369449214951,84.0,0.8960283404721929
85.0,0.9331398325951287,85.0,0.8931555525659451
86.0,0.9328936575626715,86.0,0.8946367511256108
87.0,0.9324536268136034,87.0,0.8946416152032878
88.0,0.933367706125669,88.0,0.8941731875896388
89.0,0.9325509563602776,89.0,0.8936013399026895
90.0,0.9334210184157382,90.0,0.8926151249095747
91.0,0.9324860513752314,91.0,0.8951739057473722
92.0,0.9338160392235528,92.0,0.8945423534081393
93.0,0.932542729196396,93.0,0.894270196727137
94.0,0.9319078130997579,94.0,0.8959682001750938
95.0,0.9319960425068661,95.0,0.8935218204571996
96.0,0.9331848012773223,96.0,0.893104059530717
97.0,0.9337509577989278,97.0,0.8912067617441817
98.0,0.9331945529145743,98.0,0.8940535349705392
99.0,0.9331713438546793,99.0,0.8949752577886101
100.0,0.9335531497825197,100.0,0.8929684930758448
