time,force
2.5695931477516,0.00456681246638624
4.28265524625267,2.28249287069831
5.65310492505353,5.48398063671515
6.68094218415417,10.1066604422704
7.02355460385438,13.8039518150542
8.05139186295503,18.1422714310361
8.90792291220556,15.1580117113369
9.7644539614561,13.9510031764718
11.4775160599572,13.0298771020023
13.5331905781585,12.3937201254351
16.2740899357602,11.7587809655256
19.8715203426124,11.3386342186184
24.3254817987152,11.2043699321067
30.4925053533191,10.7887899976659
37.8586723768737,10.4464312897693
46.5952890792291,10.0354181677948
53.9614561027837,9.76414950729168
60.2997858672377,9.70432426398206
66.6381156316916,9.50231892588571
67.152034261242,4.95346925520363
67.8372591006424,2.89307569745375
68.6937901498929,1.25952687822848
69.5503211991435,0.0525183433634098
86.1670235546039,-0.0601296974740464
88.7366167023555,-0.0555628850076602
91.6488222698073,-0.0503871642124238
